"Date","Price","Open","High","Low","Vol.","Change %"
"2019-01-02","4.8008","4.8760","4.9800","4.8154","0.00K","-0.61%"
"2019-01-01","4.8302","4.8302","4.8302","4.8302","0.00K","0.21%"
"2018-12-31","4.8200","4.8760","4.9575","4.8189","0.00K","0.00%"
"2018-12-28","4.8200","4.8760","4.9750","4.8214","","0.20%"
"2018-12-27","4.8104","4.8760","4.9900","4.8189","","-0.82%"
"2018-12-26","4.8500","4.8760","4.9159","4.8444","","0.41%"
"2018-12-25","4.8302","4.8302","4.8302","4.8302","","0.21%"
"2018-12-24","4.8200","4.8760","4.9950","4.8214","","0.00%"
"2018-12-21","4.8200","4.8760","5.0000","4.8189","","0.00%"
"2018-12-20","4.8200","4.9700","4.9950","4.8165","","-0.21%"
"2018-12-19","4.8300","4.9700","5.0000","4.8275","","0.19%"
"2018-12-18","4.8206","4.9950","5.0000","4.8278","","-0.20%"
"2018-12-17","4.8302","4.9950","4.9950","4.8275","","0.30%"
"2018-12-14","4.8156","4.9950","5.0000","4.8316","","-3.20%"
"2018-12-13","4.9750","4.9950","4.9950","4.8275","","2.87%"
"2018-12-12","4.8364","4.9700","4.9963","4.8165","","0.63%"
"2018-12-11","4.8061","4.9250","4.9800","4.8103","","-1.92%"
"2018-12-10","4.9000","4.9950","4.9950","4.7638","","-0.39%"
"2018-12-07","4.9191","4.9900","5.0010","4.9596","","-1.22%"
"2018-12-06","4.9800","4.9050","4.9963","4.8088","","3.88%"
"2018-12-05","4.7941","4.9050","4.9400","4.8035","","-0.06%"
"2018-12-04","4.7969","4.9050","5.0000","4.8047","","-0.52%"
"2018-12-03","4.8221","4.9050","4.9950","4.7920","","0.11%"
"2018-11-30","4.8167","4.9600","4.9895","4.7921","","-0.07%"
"2018-11-29","4.8202","4.9050","4.9850","4.8175","","-2.62%"
"2018-11-28","4.9500","4.8450","4.9803","4.7952","","2.41%"
"2018-11-27","4.8335","4.8450","4.9500","4.7931","","-0.56%"
